# id	x	y	w	h  (71 interactive widgets)
1000	12	98	200	32
1100	20	107	15	15
1001	12	134	200	32
1101	20	143	15	15
1002	12	170	200	32
1102	20	179	15	15
1003	12	206	200	32
1103	20	215	15	15
1004	12	242	200	32
1104	20	251	15	15
1005	12	278	200	32
1105	20	287	15	15
950	432	103	728	24
340	378	152	18	16
360	400	152	18	16
800	436	135	724	51
341	378	211	18	16
361	400	211	18	16
801	436	194	724	51
342	378	270	18	16
362	400	270	18	16
802	436	253	724	51
343	378	329	18	16
363	400	329	18	16
803	436	311	724	51
344	378	387	18	16
364	400	387	18	16
804	436	370	724	51
300	254	537	22	16
320	280	537	22	16
400	254	561	126	6
600	282	576	24	24
700	328	576	24	24
100	302	625	10	81
500	322	625	10	81
301	408	537	22	16
321	434	537	22	16
401	408	561	126	6
601	436	576	24	24
701	482	576	24	24
101	456	625	10	81
501	476	625	10	81
302	562	537	22	16
322	588	537	22	16
402	562	561	126	6
602	590	576	24	24
702	636	576	24	24
102	610	625	10	81
502	630	625	10	81
303	716	537	22	16
323	742	537	22	16
403	716	561	126	6
603	744	576	24	24
703	790	576	24	24
103	764	625	10	81
503	784	625	10	81
304	870	537	22	16
324	896	537	22	16
404	870	561	126	6
604	898	576	24	24
704	944	576	24	24
104	918	625	10	81
504	938	625	10	81
105	1072	537	10	169
505	1092	537	10	169
1	151	15	38	28
2	192	15	38	28
3	233	15	38	28
900	1072	16	30	24
901	1106	16	30	24
902	1140	16	30	24
